layer,token_position,token,base_addition,source_addition,prediction,output,factual_sum,num_swap_sum,digit_swap_sum,ind_swap_sum
12,84,89,89+70,63+83,?," 150, plus 9 = 159. So answer: 159. Probably just answer.<|end|><|start|>assistant<|channel|>final<|message|>63?","[159, 146]","[172, 133]","[156, 149]","[162, 169, 153, 139]"
12,85,+,89+70,63+83,.," 150, plus 9 = 159. So answer: 159. Probably just answer.<|end|><|start|>assistant<|channel|>final<|message|>89 + 70 = 159.","[159, 146]","[172, 133]","[156, 149]","[162, 169, 153, 139]"
12,86,70,89+70,63+83,.," 150, plus 9 = 159. So answer: 159. Probably just answer.<|end|><|start|>assistant<|channel|>final<|message|>89 + 70 = 159.","[159, 146]","[172, 133]","[156, 149]","[162, 169, 153, 139]"
12,87,"?""",89+70,63+83,.," 150, plus 9 = 159. So answer: 159. Probably just answer.<|end|><|start|>assistant<|channel|>final<|message|>89 + 70 = 159.","[159, 146]","[172, 133]","[156, 149]","[162, 169, 153, 139]"
12,88, Simple,89+70,63+83,.," 150, plus 9 = 159. So answer: 159. Probably just answer.<|end|><|start|>assistant<|channel|>final<|message|>89 + 70 = 159.","[159, 146]","[172, 133]","[156, 149]","[162, 169, 153, 139]"
12,89, addition,89+70,63+83,.," 150, plus 9 = 159. So answer: 159. Probably just answer.<|end|><|start|>assistant<|channel|>final<|message|>89 + 70 = 159.","[159, 146]","[172, 133]","[156, 149]","[162, 169, 153, 139]"
12,90,.,89+70,63+83,.," 150, plus 9 = 159. So answer: 159. Probably just answer.<|end|><|start|>assistant<|channel|>final<|message|>89 + 70 = 159.","[159, 146]","[172, 133]","[156, 149]","[162, 169, 153, 139]"
12,91, ,89+70,63+83,.," 150, plus 9 = 159. So answer: 159. Probably just answer.<|end|><|start|>assistant<|channel|>final<|message|>89 + 70 = 159.","[159, 146]","[172, 133]","[156, 149]","[162, 169, 153, 139]"
12,92,80,89+70,63+83,.," 130, plus 9 = 139. So answer: 139. Probably just answer.<|end|><|start|>assistant<|channel|>final<|message|>89 + 70 = 139.","[159, 146]","[172, 133]","[156, 149]","[162, 169, 153, 139]"
12,93, +,89+70,63+83,.," 150, plus 9 = 159. So answer: 159. Probably just answer.<|end|><|start|>assistant<|channel|>final<|message|>89 + 70 = 159.","[159, 146]","[172, 133]","[156, 149]","[162, 169, 153, 139]"
12,94, ,89+70,63+83,.," 150, plus 9 = 159. So answer: 159. Probably just answer.<|end|><|start|>assistant<|channel|>final<|message|>89 + 70 = 159.","[159, 146]","[172, 133]","[156, 149]","[162, 169, 153, 139]"
12,95,70,89+70,63+83,.," 160, plus 9 + 0 = 9, so 169. So answer: 169.<|end|><|start|>assistant<|channel|>final<|message|>89 + 70 = 169.","[159, 146]","[172, 133]","[156, 149]","[162, 169, 153, 139]"
12,96, =,89+70,63+83,.," 150, plus 9 = 159. So answer: 159. Probably just answer.<|end|><|start|>assistant<|channel|>final<|message|>89 + 70 = 159.","[159, 146]","[172, 133]","[156, 149]","[162, 169, 153, 139]"
12,84,54,54+40,25+49,95," 90, plus 5 = 95. So answer: 95. Probably just answer.<|end|><|start|>assistant<|channel|>final<|message|>95","[94, 74]","[103, 65]","[104, 64]","[103, 94, 95, 64]"
12,85,+,54+40,25+49,.," 90, plus 4 = 94. So answer: 94. Probably just answer.<|end|><|start|>assistant<|channel|>final<|message|>54 + 40 = 94.","[94, 74]","[103, 65]","[104, 64]","[103, 94, 95, 64]"
12,86,40,54+40,25+49,94," 90, plus 4 = 94. So answer: 94. Probably just answer.<|end|><|start|>assistant<|channel|>final<|message|>54 + 40 = 94","[94, 74]","[103, 65]","[104, 64]","[103, 94, 95, 64]"
12,87,"?""",54+40,25+49,94," 90, plus 4 = 94. So answer: 94. Probably just answer.<|end|><|start|>assistant<|channel|>final<|message|>54 + 40 = 94","[94, 74]","[103, 65]","[104, 64]","[103, 94, 95, 64]"
