mode,trial_idx,phase,question,true_sum,answer_altered_implied_edited,edit_token_center,patch_window_radius,window_side,token_str_at_window,answer_after_injection,analysis_continuation_after_injection,generated_suffix_raw,parsed_first_int,label
freeze,0,intervention,Add 632 to 947.,1579,1479.0,214,7,both,"[(207, 'Ġ'), (208, '6'), (209, 'Ġ+'), (210, 'Ġ'), (211, '9'), (212, 'Ġ='), (213, 'Ġ'), (214, '15'), (215, ','), (216, 'Ġcarry'), (217, 'Ġ'), (218, '1'), (219, '?'), (220, 'ĠWait'), (221, 'Ġwe')]",1579,,<|channel|>final<|message|>1579,1579,matches_true
freeze,1,intervention,Add 546 to 726.,1272,1172.0,218,7,both,"[(211, 'ĠHundreds'), (212, ':'), (213, 'Ġ'), (214, '5'), (215, '+'), (216, '7'), (217, '='), (218, '12'), (219, '.'), (220, 'ĠWait'), (221, 'Ġ'), (222, '5'), (223, '+'), (224, '7'), (225, '=')]",1272,,<|channel|>final<|message|>1272,1272,matches_true
freeze,2,intervention,Add 374 to 584.,958,858.0,222,7,both,"[(215, '='), (216, '8'), (217, 'Ġplus'), (218, 'Ġcarry'), (219, 'Ġ'), (220, '1'), (221, 'Ġ='), (222, '9'), (223, '.'), (224, '<|end|>'), (225, '<|start|>'), (226, 'assistant')]",758,,<|channel|>final<|message|>758,758,matches_neither
freeze,3,intervention,Add 599 to 749.,1348,348.0,238,7,both,"[(231, '13'), (232, ','), (233, 'Ġwrite'), (234, 'Ġ'), (235, '3'), (236, 'Ġcarry'), (237, 'Ġ'), (238, '1'), (239, '.'), (240, 'ĠSince'), (241, 'Ġno'), (242, 'Ġmore'), (243, 'Ġdigits'), (244, ','), (245, 'Ġwrite')]",1338,,<|channel|>final<|message|>1338,1338,matches_neither
freeze,4,intervention,Add 169 to 793.,962,952.0,210,7,both,"[(203, 'Ġ'), (204, '9'), (205, 'Ġ+'), (206, 'Ġcarry'), (207, '1'), (208, 'Ġ='), (209, 'Ġ'), (210, '16'), (211, ','), (212, 'Ġwrite'), (213, 'Ġ'), (214, '6'), (215, 'Ġcarry'), (216, '1'), (217, '.')]",962,,<|channel|>final<|message|>962,962,matches_true
freeze,0,intervention,Add 632 to 947.,1579,1479.0,214,7,both,"[(207, 'Ġ'), (208, '6'), (209, 'Ġ+'), (210, 'Ġ'), (211, '9'), (212, 'Ġ='), (213, 'Ġ'), (214, '15'), (215, ','), (216, 'Ġcarry'), (217, 'Ġ'), (218, '1'), (219, '?'), (220, 'ĠWait'), (221, 'Ġwe')]",1579,,<|channel|>final<|message|>1579,1579,matches_true
freeze,1,intervention,Add 546 to 726.,1272,1172.0,218,7,both,"[(211, 'ĠHundreds'), (212, ':'), (213, 'Ġ'), (214, '5'), (215, '+'), (216, '7'), (217, '='), (218, '12'), (219, '.'), (220, 'ĠWait'), (221, 'Ġ'), (222, '5'), (223, '+'), (224, '7'), (225, '=')]",1272,,<|channel|>final<|message|>1272,1272,matches_true
freeze,2,intervention,Add 374 to 584.,958,858.0,222,7,both,"[(215, '='), (216, '8'), (217, 'Ġplus'), (218, 'Ġcarry'), (219, 'Ġ'), (220, '1'), (221, 'Ġ='), (222, '9'), (223, '.'), (224, '<|end|>'), (225, '<|start|>'), (226, 'assistant')]",758,,<|channel|>final<|message|>758,758,matches_neither
freeze,3,intervention,Add 599 to 749.,1348,348.0,238,7,both,"[(231, '13'), (232, ','), (233, 'Ġwrite'), (234, 'Ġ'), (235, '3'), (236, 'Ġcarry'), (237, 'Ġ'), (238, '1'), (239, '.'), (240, 'ĠSince'), (241, 'Ġno'), (242, 'Ġmore'), (243, 'Ġdigits'), (244, ','), (245, 'Ġwrite')]",1338,,<|channel|>final<|message|>1338,1338,matches_neither
freeze,4,intervention,Add 169 to 793.,962,952.0,210,7,both,"[(203, 'Ġ'), (204, '9'), (205, 'Ġ+'), (206, 'Ġcarry'), (207, '1'), (208, 'Ġ='), (209, 'Ġ'), (210, '16'), (211, ','), (212, 'Ġwrite'), (213, 'Ġ'), (214, '6'), (215, 'Ġcarry'), (216, '1'), (217, '.')]",962,,<|channel|>final<|message|>962,962,matches_true
