Rule ID,Rule Description,Task Number,Test Object,Alternative Test Object,Test Label,Test Rule Elicitation,Alternative Label,Alternative Rule Elicitation
hg05,An object is labeled 'True' if it is not a CIR.,1,- Size=L Color=BLU Shape=CIR -> False,- Size=M Color=GRN Shape=CIR -> False,False,"
 it is either a triangle (TRI) and its size is either medium (M) or large (L), or it is a rectangle (REC) regardless of its size or color.<|eot_id|",False,"
 it is either a triangle (TRI) and its size is either small (S) or large (L), or it is a rectangle (REC) regardless of its size or color.<|eot_id|"
hg05,An object is labeled 'True' if it is not a CIR.,2,- Size=S Color=GRN Shape=REC -> True,- Size=S Color=BLU Shape=REC -> True,False,"
 it is a rectangle (REC) and its size is either medium (M) or large (L), regardless of the color.<|eot_id|",True,"
 it is a rectangle (REC) and its size is either medium (M) or large (L).<|eot_id|"
hg05,An object is labeled 'True' if it is not a CIR.,3,- Size=S Color=GRN Shape=REC -> True,- Size=L Color=GRN Shape=REC -> True,True,"
 it is a rectangle (REC) and its color is yellow (YEL) or it is a triangle (TRI) and its size is large (L) or small (S).<|eot_id|",False,"
 it is either a triangle (TRI) and its color is blue (BLU) or its size is small (S) and its shape is a rectangle (REC).<|eot_id|"
hg05,An object is labeled 'True' if it is not a CIR.,4,- Size=M Color=GRN Shape=CIR -> False,- Size=L Color=GRN Shape=CIR -> False,True,"
 it is a rectangle (REC).<|eot_id|",True,"
 it is a rectangle (REC) and its color is blue (BLU).<|eot_id|"
hg05,An object is labeled 'True' if it is not a CIR.,5,- Size=L Color=GRN Shape=REC -> True,- Size=M Color=GRN Shape=TRI -> True,True,"
 it is a rectangle (REC) and its color is yellow (YEL) or its size is small (S) and its color is yellow (YEL) or its size is large (L) and its color is green (GRN).<|eot_id|",True,"
 it is a rectangle (REC) and its size is either small (S) or large (L), regardless of the color.<|eot_id|"
hg05,An object is labeled 'True' if it is not a CIR.,6,- Size=L Color=YEL Shape=CIR -> False,- Size=S Color=GRN Shape=CIR -> False,False,"
 it is either a triangle (TRI) and its color is blue (BLU) or its size is large (L) and its shape is a rectangle (REC).<|eot_id|",False,"
 it is either a triangle (TRI) or a rectangle (REC) of any size, or a large (L) shape of any color.<|eot_id|"
hg05,An object is labeled 'True' if it is not a CIR.,7,- Size=L Color=YEL Shape=CIR -> False,- Size=S Color=YEL Shape=CIR -> False,False,"
 it is a rectangle (REC) and its color is blue (BLU) or its size is small (S) and its color is green (GRN) or its size is small (S) and its shape is a triangle (TRI).<|eot_id|",False,"
 it is a rectangle (REC) and its color is blue (BLU) or its size is small (S) and its color is green (GRN) or its size is large (L) and its color is green (GRN).<|eot_id|"
hg05,An object is labeled 'True' if it is not a CIR.,8,- Size=S Color=GRN Shape=CIR -> False,- Size=M Color=GRN Shape=CIR -> False,False,"
 it is a rectangle (REC) regardless of its size or color.<|eot_id|",False,"
 it is a rectangle (REC) and its color is yellow (YEL) or its size is large (L), regardless of its color.<|eot_id|"
hg05,An object is labeled 'True' if it is not a CIR.,9,- Size=S Color=BLU Shape=CIR -> False,- Size=L Color=YEL Shape=CIR -> False,True,"
 it is a triangle (TRI) and its color is yellow (YEL) or it is a rectangle (REC) and its size is medium (M) or its size is small (S) and its color is blue (BLU).<|eot_id|",False,"
 it is either a triangle (TRI) and its size is either small (S) or medium (M), or it is a rectangle (REC) and its size is small (S) or medium (M).<|eot_id|"
hg05,An object is labeled 'True' if it is not a CIR.,10,- Size=M Color=YEL Shape=CIR -> False,- Size=L Color=GRN Shape=CIR -> False,False,"
 it is either a small size and a non-green color or a large size and a rectangle shape.<|eot_id|",False,"
 it is either a small size and a non-green color or a large size and a rectangle shape.<|eot_id|"
