phase,trial_idx,a,b,true_sum,question,reasoning_used_for_injection_edited,reasoning_used_for_injection_edited_only_up_to_edit,answer_after_injection,answer_altered_implied_edited,label,intervention_change_rationale,edit_target
baseline,0,632,947,1579,Add 632 to 947.,"We need to add 632 + 947. According to instructions: stepwise adder, reason concisely, add units with carry, then next digits. So units: 2 + 7 = 9, no carry. Tens: 3 + 4 = 7. Hundreds: 6 + 9 = 15, carry 1? Wait we already used carry? Actually we didn't have carry from tens. So 6+9=15, write 5, carry 1 to thousands. Provide final answer only.","We need to add 632 + 947. According to instructions: stepwise adder, reason concisely, add units with carry, then next digits. So units: 2 + 7 = 9, no carry. Tens: 3 + 4 = 7. Hundreds: 6 + 9 = 15",1579,,correct,,step
intervention,0,632,947,1579,Add 632 to 947.,"We need to add 632 + 947. According to instructions: stepwise adder, reason concisely, add units with carry, then next digits. So units: 2 + 7 = 9, no carry. Tens: 3 + 4 = 7. Hundreds: 6 + 8 = 14, carry 1? Wait we already used carry? Actually we didn't have carry from tens. So 6+8=14, write 4, carry 1 to thousands. Provide final answer only.","We need to add 632 + 947. According to instructions: stepwise adder, reason concisely, add units with carry, then next digits. So units: 2 + 7 = 9, no carry. Tens: 3 + 4 = 7. Hundreds: 6 + 8 = 14",[patch error: Failed to build IntervenableModel; last error: <class 'transformers.models.gpt_oss.modeling_gpt_oss.GptOssForCausalLM'>],1479.0,intervention_failed,Changed the digit '9' to '8' in the hundreds addition (6 + 8 instead of 6 + 9).,step
baseline,1,546,726,1272,Add 546 to 726.,"We need to add 546 + 726. According to instructions: stepwise adder, reason concisely, add units with carry, then next digits. So units: 6+6=12, write 2 carry 1. Tens: 4+2=6 plus carry 1 =7. Hundreds: 5+7=12. Wait 5+7=12, write 2 carry 1 to thousands. Thousands: carry 1 => 1.","We need to add 546 + 726. According to instructions: stepwise adder, reason concisely, add units with carry, then next digits. So units: 6+6=12, write 2 carry 1. Tens: 4+2=6 plus carry 1 =7. Hundreds: 5+7=12",1272,,correct,,step
intervention,1,546,726,1272,Add 546 to 726.,"We need to add 546 + 726. According to instructions: stepwise adder, reason concisely, add units with carry, then next digits. So units: 6+6=12, write 2 carry 1. Tens: 4+2=6 plus carry 1 =7. Hundreds: 5+6=11. Wait 5+6=11, write 1 carry 1 to thousands. Thousands: carry 1 => 1.","We need to add 546 + 726. According to instructions: stepwise adder, reason concisely, add units with carry, then next digits. So units: 6+6=12, write 2 carry 1. Tens: 4+2=6 plus carry 1 =7. Hundreds: 5+6=11",[patch error: Failed to build IntervenableModel; last error: <class 'transformers.models.gpt_oss.modeling_gpt_oss.GptOssForCausalLM'>],1172.0,intervention_failed,"Changed the digit 7 in the hundreds place to 6, affecting the sum.",step
baseline,2,374,584,958,Add 374 to 584.,"We need to add 374 + 584. According to instructions: stepwise adder, reason concisely, add units with carry, then next digits. So units: 4+4=8, no carry. Tens: 7+8=15, write 5, carry 1. Hundreds: 3+5=8 plus carry 1 =9.","We need to add 374 + 584. According to instructions: stepwise adder, reason concisely, add units with carry, then next digits. So units: 4+4=8, no carry. Tens: 7+8=15, write 5, carry 1. Hundreds: 3+5=8 plus carry 1 =9",959,,incorrect,,step
intervention,2,374,584,958,Add 374 to 584.,"We need to add 374 + 584. According to instructions: stepwise adder, reason concisely, add units with carry, then next digits. So units: 4+4=8, no carry. Tens: 7+8=15, write 5, carry 1. Hundreds: 3+5=8 plus carry 1 =8.","We need to add 374 + 584. According to instructions: stepwise adder, reason concisely, add units with carry, then next digits. So units: 4+4=8, no carry. Tens: 7+8=15, write 5, carry 1. Hundreds: 3+5=8 plus carry 1 =8",[patch error: Failed to build IntervenableModel; last error: <class 'transformers.models.gpt_oss.modeling_gpt_oss.GptOssForCausalLM'>],858.0,intervention_failed,Changed the hundreds digit from 9 to 8 in the final calculation of hundreds.,step
baseline,3,599,749,1348,Add 599 to 749.,"We need to add 599 + 749. According to instructions: stepwise adder, reason concisely, add units with carry, then next digits. So units: 9+9=18, write 8 carry 1. Tens: 9+4=13 plus carry 1 =14, write 4 carry 1. Hundreds: 5+7=12 plus carry 1 =13, write 3 carry 1. Since no more digits, write carry 1 as leading digit.","We need to add 599 + 749. According to instructions: stepwise adder, reason concisely, add units with carry, then next digits. So units: 9+9=18, write 8 carry 1. Tens: 9+4=13 plus carry 1 =14, write 4 carry 1. Hundreds: 5+7=12 plus carry 1 =13, write 3 carry 1","1,342",,incorrect,,step
intervention,3,599,749,1348,Add 599 to 749.,"We need to add 599 + 749. According to instructions: stepwise adder, reason concisely, add units with carry, then next digits. So units: 9+9=18, write 8 carry 1. Tens: 9+4=13 plus carry 1 =14, write 4 carry 1. Hundreds: 5+7=12 plus carry 1 =13, write 3 carry 0. Since no more digits, write carry 0 as leading digit.","We need to add 599 + 749. According to instructions: stepwise adder, reason concisely, add units with carry, then next digits. So units: 9+9=18, write 8 carry 1. Tens: 9+4=13 plus carry 1 =14, write 4 carry 1. Hundreds: 5+7=12 plus carry 1 =13, write 3 carry 0",[patch error: Failed to build IntervenableModel; last error: <class 'transformers.models.gpt_oss.modeling_gpt_oss.GptOssForCausalLM'>],348.0,intervention_failed,Changed the carry from 1 to 0 in the hundreds addition step.,step
baseline,4,169,793,962,Add 169 to 793.,"We need to add 169 + 793. According to instructions: stepwise adder, reason concisely, add units with carry, then next digits. So units: 9 + 9 = 18, write 8 carry 1. Tens: 6 + 9 + carry1 = 16, write 6 carry1. Hundreds: 1 + 7 + carry1 = 9.","We need to add 169 + 793. According to instructions: stepwise adder, reason concisely, add units with carry, then next digits. So units: 9 + 9 = 18, write 8 carry 1. Tens: 6 + 9 + carry1 = 16",968,,incorrect,,step
intervention,4,169,793,962,Add 169 to 793.,"We need to add 169 + 793. According to instructions: stepwise adder, reason concisely, add units with carry, then next digits. So units: 9 + 9 = 18, write 8 carry 1. Tens: 6 + 9 + carry1 = 15, write 5 carry1. Hundreds: 1 + 7 + carry1 = 9.","We need to add 169 + 793. According to instructions: stepwise adder, reason concisely, add units with carry, then next digits. So units: 9 + 9 = 18, write 8 carry 1. Tens: 6 + 9 + carry1 = 15",[patch error: Failed to build IntervenableModel; last error: <class 'transformers.models.gpt_oss.modeling_gpt_oss.GptOssForCausalLM'>],952.0,intervention_failed,Changed the digit '6' in the tens place to '5' in the step '6 + 9 + carry1 = 16' to '6 + 9 + carry1 = 15'.,step
