Rule ID,Rule Description,Task Number,Test Object,Clean Rule,Corrupt Rule
hg05,An object is labeled 'True' if it is not a CIR.,0,- Size=L Color=BLU Shape=CIR -> False,"
 it is either a triangle (TRI) or a rectangle (REC) of any size and color, or a large (L) circle (CIR) of any color.<|eot_id|","
 it is a rectangle (REC) and its color is green (GRN) or yellow (YEL).<|eot_id|

"
hg05,An object is labeled 'True' if it is not a CIR.,1,- Size=S Color=BLU Shape=CIR -> False,"
 it is a rectangle (REC) and its size is either medium (M) or small (S).<|eot_id|","
 it is a triangle (TRI) and its size is not large (L).<|eot_id|

"
hg05,An object is labeled 'True' if it is not a CIR.,2,- Size=M Color=YEL Shape=REC -> True,"
 it is a rectangle (REC) and its color is yellow (YEL), regardless of its size.<|eot_id|","
 it is a triangle (TRI) and its size is medium (M).<|eot_id|

"
hg05,An object is labeled 'True' if it is not a CIR.,3,- Size=M Color=BLU Shape=REC -> True,"
 it is a rectangle and its color is blue.<|eot_id|","
 it is a triangle and its size is small or large.<|eot_id|

"
hg05,An object is labeled 'True' if it is not a CIR.,4,- Size=M Color=BLU Shape=CIR -> False,"
 it is a rectangle (REC) and its color is green (GRN).<|eot_id|","
 it is a rectangle (REC) and its size is medium (M).<|eot_id|

"
hg05,An object is labeled 'True' if it is not a CIR.,5,- Size=L Color=GRN Shape=CIR -> False,"
 it is a rectangle and its color is blue.<|eot_id|","
 it is a medium size and a green color.<|eot_id|

"
hg05,An object is labeled 'True' if it is not a CIR.,6,- Size=S Color=BLU Shape=REC -> True,"
 it is small and green or it is medium and blue or it is large and any color or it is large and green and any shape.<|eot_id|","
 it is small and green and a triangle.<|eot_id|

"
hg05,An object is labeled 'True' if it is not a CIR.,7,- Size=L Color=BLU Shape=CIR -> False,"
 it is a rectangle (REC) and its size is either small (S) or medium (M).<|eot_id|","
 it is a rectangle (REC) and its size is not small (S).<|eot_id|

"
hg05,An object is labeled 'True' if it is not a CIR.,8,- Size=L Color=YEL Shape=TRI -> True,"
 it is a triangle and its size is large, or it is a rectangle and its size is medium.<|eot_id|","
 it is a triangle and its size is not medium.<|eot_id|

"
hg05,An object is labeled 'True' if it is not a CIR.,9,- Size=L Color=YEL Shape=CIR -> False,"
 it is a rectangle and its color is green.<|eot_id|","
 it is a rectangle (REC) and its color is green (GRN).<|eot_id|

"
